이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
홍창기,23  RF,1.03,643,1,0.332,0.444,0.412,7.91,30000
김혜성,23  2B,0.8,621,7,0.335,0.396,0.446,6.98,42000
노시환,23  3B,0.51,595,31,0.298,0.388,0.541,6.82,13100
양의지,23  C,1.09,510,17,0.305,0.396,0.474,6.1,30000
오스틴,23  1B,-0.94,583,23,0.313,0.376,0.517,5.74,40000
박민우,23  2B,1.28,509,2,0.316,0.381,0.405,5.25,110000
이정후,23  CF,1.56,387,6,0.318,0.406,0.455,5.18,110000
오지환,23  SS,1.72,502,8,0.268,0.371,0.396,5.14,60000
정수빈,23  CF,0.81,583,2,0.287,0.375,0.371,4.87,60000
최정,23  3B,-0.91,552,29,0.297,0.388,0.548,4.85,100000
알포드,23  LF,0.74,547,15,0.289,0.356,0.456,4.82,100000
박해민,23  CF,2.21,558,6,0.285,0.348,0.359,4.8,60000
문성주,23  LF,0.64,534,2,0.294,0.392,0.372,4.76,9500
박찬호,23  SS,1.67,507,3,0.301,0.356,0.378,4.71,20000
손아섭,23  DH,-0.82,609,5,0.339,0.393,0.443,4.62,50000
소크라테스,23  CF,0.49,608,20,0.285,0.344,0.463,4.6,50000
문보경,23  3B,-0.2,542,10,0.301,0.377,0.448,4.45,17000
박성한,23  SS,2.13,529,9,0.266,0.347,0.366,4.36,27000
박병호,23  1B,0.54,493,18,0.283,0.357,0.443,4.15,70000
에레디아,23  LF,-0.35,523,12,0.323,0.385,0.461,4.11,90000
유강남,23  C,2.2,403,10,0.261,0.342,0.384,4.09,60000
최형우,23  DH,-1.36,508,17,0.302,0.4,0.487,3.93,90000
박건우,23  RF,-1.1,533,12,0.319,0.397,0.48,3.92,90000
최재훈,23  C,1.76,417,1,0.248,0.392,0.294,3.9,80000
김도영,23  3B,0.57,385,7,0.303,0.371,0.453,3.88,5000
김민혁,23  RF,1.17,448,3,0.297,0.356,0.385,3.85,4500
전준우,23  DH,-1.46,559,17,0.312,0.381,0.471,3.79,50000
이진영,23  RF,0.81,422,10,0.249,0.344,0.394,3.6,3900
장성우,23  C,1.07,464,11,0.288,0.351,0.422,3.43,50000
양석환,23  1B,-0.3,582,21,0.281,0.333,0.454,3.33,40000
김재호,23  SS,0.92,302,3,0.283,0.376,0.372,3.3,50000
마틴,23  CF,-0.13,503,17,0.283,0.36,0.455,3.28,72000
황재균,23  3B,0.25,457,6,0.295,0.366,0.413,3.24,100000
이재현,23  SS,1.41,538,12,0.249,0.33,0.378,2.98,6000
박동원,23  C,-0.21,481,20,0.249,0.334,0.443,2.92,30000
서호철,23  3B,1.1,435,5,0.287,0.331,0.383,2.85,4500
김선빈,23  2B,-0.07,473,0,0.32,0.381,0.358,2.69,45000
이우성,23  RF,-0.05,400,8,0.301,0.363,0.417,2.66,5500
강민호,23  C,-0.48,495,16,0.29,0.366,0.445,2.61,60000
노진혁,23  SS,0.75,390,4,0.257,0.347,0.377,2.56,50000
김상수,23  SS,0.39,512,3,0.271,0.353,0.339,2.53,11000
김지찬,23  2B,-0.16,355,1,0.292,0.408,0.33,2.46,16000
로하스,23  LF,-1.71,464,19,0.253,0.345,0.474,2.41,85000
도태훈,23  3B,0.59,302,5,0.234,0.376,0.322,2.38,5000
채은성,23  1B,-1.88,596,23,0.263,0.351,0.428,2.36,180000
허경민,23  3B,0.79,475,7,0.268,0.328,0.375,2.35,120000
이도윤,23  SS,1.7,346,1,0.252,0.302,0.317,2.27,3400
김주원,23  SS,0.8,474,10,0.233,0.328,0.34,2.22,9000
김현수,23  DH,-1.14,556,6,0.293,0.364,0.383,2.19,100000
권희동,23  LF,-0.61,373,7,0.285,0.388,0.405,2.18,9000
안치홍,23  2B,-0.77,494,8,0.292,0.374,0.4,1.99,50000
강승호,23  2B,0.09,459,7,0.265,0.316,0.387,1.98,20000
송성문,23  3B,0.4,438,5,0.263,0.325,0.358,1.95,12000
박승욱,23  2B,0.06,338,0,0.286,0.364,0.369,1.92,7000
김민성,23  2B,0.89,316,8,0.249,0.326,0.377,1.92,18000
안권수,23  LF,0.67,309,2,0.269,0.341,0.321,1.84,8000
배정대,23  CF,0.14,361,2,0.277,0.356,0.347,1.82,34000
김민식,23  C,1.46,318,5,0.218,0.302,0.316,1.7,15000
김성현,23  2B,0.64,354,1,0.268,0.328,0.323,1.55,15000
최지훈,23  CF,-0.12,503,2,0.268,0.315,0.357,1.55,30000
추신수,23  DH,-1.36,462,12,0.254,0.379,0.398,1.46,170000
신민재,23  2B,0.46,331,0,0.277,0.344,0.309,1.43,4800
김현준,23  CF,-0.13,479,3,0.275,0.327,0.346,1.24,8000
김휘집,23  SS,-0.95,435,8,0.249,0.338,0.374,1.12,7400
최주환,23  2B,-0.73,478,20,0.235,0.31,0.432,1.04,65000
정은원,23  2B,0.45,459,2,0.222,0.333,0.268,1.03,21800
오재일,23  1B,0.73,364,11,0.203,0.302,0.356,0.99,50000
윤동희,23  RF,-0.33,423,2,0.287,0.333,0.354,0.88,3300
피렐라,23  LF,-3.01,605,16,0.285,0.339,0.425,0.7,120000
김태군,23  C,0.47,346,1,0.257,0.305,0.305,0.59,20000
오태곤,23  1B,-0.47,305,7,0.239,0.293,0.375,0.56,10000
김재환,23  DH,-1.17,484,10,0.22,0.343,0.331,0.48,150000
류지혁,23  3B,-1.07,522,2,0.268,0.34,0.31,0.38,15500
한유섬,23  RF,-1.45,388,7,0.273,0.355,0.393,0.35,50000
고승민,23  1B,-0.52,308,2,0.224,0.331,0.318,0.27,7300
김인환,23  1B,-0.25,365,7,0.225,0.301,0.338,0.23,6400
문상철,23  DH,-0.86,330,9,0.26,0.298,0.414,0.11,5600
이형종,23  RF,-1.12,374,3,0.215,0.326,0.32,-0.21,12000
이정후,22  CF,0.38,627,23,0.349,0.421,0.575,8.89,75000
김혜성,22  2B,2.69,566,4,0.318,0.373,0.403,7.11,32000
오지환,22  SS,2.12,569,25,0.269,0.357,0.47,6.99,60000
박성한,22  SS,3.3,564,2,0.298,0.375,0.374,6.87,14000
박해민,22  CF,3.06,636,3,0.289,0.347,0.368,6.52,60000
최지훈,22  CF,2.12,640,10,0.304,0.362,0.427,6.49,15000
피렐라,22  LF,-1.57,630,28,0.342,0.411,0.565,6.23,60000
최정,22  3B,0.44,505,26,0.266,0.386,0.505,5.71,120000
양의지,22  C,0.54,510,20,0.283,0.38,0.48,5.31,100000
박병호,22  1B,0.63,487,35,0.275,0.349,0.559,5.19,60000
문보경,22  3B,0.54,466,9,0.315,0.382,0.451,4.93,6800
김현수,22  LF,-0.8,604,23,0.286,0.375,0.473,4.81,4000
소크라테스,22  CF,-0.21,554,17,0.311,0.354,0.494,4.54,50000
김주원,22  SS,2.83,326,10,0.223,0.331,0.388,4.29,6000
박동원,22  C,1.15,447,18,0.242,0.334,0.436,4.21,31000
박찬호,22  SS,1.37,566,4,0.272,0.344,0.341,4.1,12000
터크먼,22  CF,-0.61,648,12,0.289,0.366,0.43,4.06,70000
홍창기,22  RF,0.24,525,1,0.286,0.39,0.355,4.0,32000
박건우,22  CF,-0.59,463,10,0.336,0.408,0.458,3.95,190000
조용호,22  RF,0.7,531,3,0.308,0.374,0.382,3.92,24000
장성우,22  C,1.21,420,18,0.26,0.353,0.439,3.85,50000
김지찬,22  2B,1.51,429,0,0.28,0.361,0.332,3.79,11000
이대호,22  DH,-2.04,591,23,0.331,0.379,0.502,3.68,80000
문성주,22  DH,0.19,390,6,0.303,0.401,0.422,3.62,4200
강승호,22  2B,1.23,487,10,0.264,0.31,0.399,3.56,11500
푸이그,22  RF,-1.66,547,21,0.277,0.367,0.474,3.52,70000
김선빈,22  2B,-0.06,587,3,0.287,0.373,0.35,3.35,45000
최형우,22  DH,-0.82,530,14,0.264,0.366,0.421,3.3,90000
최재훈,22  C,2.14,437,5,0.223,0.339,0.302,3.25,100000
손아섭,22  RF,0.14,617,4,0.277,0.347,0.367,3.08,150000
유강남,22  C,1.06,469,8,0.255,0.326,0.351,3.07,27000
배정대,22  CF,0.26,575,6,0.266,0.339,0.356,2.97,26000
안치홍,22  2B,-1.46,562,14,0.284,0.354,0.436,2.87,100000
정은원,22  2B,-0.93,601,8,0.274,0.377,0.368,2.8,19080
김재환,22  LF,-1.22,517,23,0.248,0.34,0.46,2.75,150000
박민우,22  2B,0.56,451,4,0.267,0.351,0.359,2.72,41000
송성문,22  3B,1.15,601,13,0.247,0.302,0.371,2.71,7500
이지영,22  C,1.93,450,2,0.267,0.303,0.331,2.64,30000
김현준,22  CF,0.03,422,0,0.275,0.365,0.35,2.53,3300
이창진,22  LF,-0.41,404,7,0.301,0.374,0.402,2.47,7000
알포드,22  LF,-0.63,323,14,0.286,0.362,0.509,2.43,47700
오재일,22  1B,-0.85,536,21,0.268,0.345,0.491,2.42,60000
김인환,22  1B,0.32,429,16,0.261,0.305,0.417,2.42,3200
마티니,22  LF,-2.18,576,16,0.296,0.365,0.461,2.33,44000
박세혁,22  C,1.86,402,3,0.248,0.32,0.316,2.32,30000
노진혁,22  3B,-0.62,451,15,0.28,0.353,0.455,2.3,23000
류지혁,22  3B,-0.52,477,2,0.274,0.369,0.346,2.19,10500
한동희,22  3B,-1.23,499,14,0.307,0.359,0.458,2.14,17200
허경민,22  3B,-1.51,493,8,0.289,0.36,0.398,2.08,120000
노시환,22  3B,-0.66,490,6,0.281,0.355,0.382,2.06,12000
채은성,22  1B,-1.29,526,12,0.296,0.354,0.437,2.06,28000
정수빈,22  CF,0.56,455,3,0.259,0.323,0.331,1.97,60000
황재균,22  3B,-0.59,581,10,0.262,0.335,0.38,1.86,40000
오윤석,22  2B,1.01,337,6,0.234,0.322,0.343,1.78,9000
이원석,22  3B,-0.49,335,10,0.267,0.346,0.417,1.69,30000
노수광,22  LF,0.72,361,4,0.229,0.299,0.362,1.68,12840
김태연,22  3B,0.02,464,7,0.24,0.325,0.337,1.55,5600
전준우,22  LF,-2.2,517,11,0.304,0.35,0.445,1.55,50000
심우준,22  SS,0.68,449,4,0.24,0.316,0.302,1.54,26000
피터스,22  CF,-0.15,354,13,0.228,0.299,0.402,1.46,60000
김민혁,22  LF,0.04,434,0,0.284,0.349,0.322,1.2,3200
양석환,22  1B,-1.41,446,20,0.244,0.309,0.432,1.16,39000
하주석,22  SS,0.01,483,5,0.258,0.309,0.342,0.96,20090
오선진,22  3B,-0.26,306,3,0.276,0.328,0.34,0.52,7000
강민호,22  C,-0.95,444,13,0.258,0.33,0.409,0.51,60000
페르난데스,22  DH,-2.39,550,6,0.309,0.353,0.4,0.48,60000
김성현,22  2B,0.53,359,2,0.219,0.295,0.275,0.39,20000
이용규,22  LF,-0.58,326,0,0.199,0.326,0.221,0.19,40000
김휘집,22  SS,-1.11,393,8,0.222,0.326,0.336,0.03,3900
정훈,22  1B,-0.36,340,3,0.245,0.317,0.303,-0.04,55000
황대인,22  1B,-1.66,524,14,0.256,0.315,0.401,-0.1,6500
강백호,21  1B,-0.41,627,16,0.347,0.45,0.521,7.26,31000
최정,21  3B,0.5,555,35,0.278,0.41,0.562,7.04,120000
이정후,21  RF,0.0,544,7,0.36,0.438,0.522,6.75,55000
홍창기,21  CF,-0.56,651,4,0.328,0.456,0.408,6.75,10000
알테어,21  CF,0.71,565,32,0.272,0.358,0.514,5.81,110000
구자욱,21  RF,0.36,610,22,0.306,0.361,0.519,5.56,36000
양의지,21  C,-1.25,570,30,0.325,0.414,0.581,5.51,150000
박건우,21  RF,-0.79,525,6,0.325,0.4,0.441,4.95,48000
최재훈,21  C,1.31,467,7,0.275,0.405,0.387,4.84,26000
김재환,21  LF,-1.44,566,27,0.274,0.382,0.501,4.77,76000
정은원,21  2B,-0.25,608,6,0.283,0.407,0.384,4.46,12000
오지환,21  SS,2.71,532,8,0.254,0.335,0.356,4.45,60000
마차도,21  SS,1.99,539,5,0.279,0.359,0.361,4.24,50000
노시환,21  3B,0.46,458,18,0.271,0.386,0.466,4.21,6000
박해민,21  CF,0.98,542,5,0.291,0.383,0.377,4.19,38000
이용규,21  CF,0.21,547,1,0.296,0.392,0.373,3.98,10000
김현수,21  LF,-0.88,595,17,0.285,0.376,0.435,3.91,3500
강민호,21  C,0.69,462,18,0.291,0.361,0.478,3.91,50000
한유섬,21  RF,-0.49,519,31,0.278,0.373,0.534,3.88,18000
전준우,21  LF,-1.43,619,7,0.348,0.405,0.469,3.84,50000
김혜성,21  2B,0.3,635,3,0.304,0.372,0.367,3.83,17000
최원준,21  CF,-0.34,668,4,0.295,0.37,0.372,3.6,13000
심우준,21  SS,1.92,460,6,0.268,0.323,0.371,3.54,15500
김인태,21  LF,1.14,418,8,0.259,0.373,0.378,3.42,6500
나성범,21  DH,-0.78,623,33,0.281,0.335,0.509,3.41,78000
하주석,21  SS,0.46,594,10,0.272,0.346,0.392,3.17,13500
박동원,21  C,-0.14,481,22,0.249,0.342,0.46,3.14,23000
정훈,21  1B,-0.64,561,14,0.292,0.38,0.438,3.11,10000
피렐라,21  LF,-1.34,621,29,0.286,0.359,0.495,3.1,50000
페르난데스,21  1B,-2.39,617,15,0.315,0.391,0.443,3.09,60000
노진혁,21  SS,0.54,384,8,0.288,0.374,0.427,3.09,23000
배정대,21  CF,0.53,595,12,0.259,0.353,0.378,3.07,14000
서건창,21  2B,1.08,600,6,0.253,0.35,0.343,3.06,22500
안치홍,21  2B,-0.73,490,10,0.306,0.379,0.458,2.94,29000
황재균,21  3B,0.4,507,10,0.291,0.358,0.402,2.93,80000
오재일,21  1B,-0.19,484,25,0.285,0.366,0.512,2.88,60000
한동희,21  3B,-0.23,496,17,0.267,0.364,0.443,2.87,11000
최지훈,21  RF,0.95,534,5,0.262,0.342,0.362,2.84,8000
강승호,21  SS,1.65,340,7,0.239,0.301,0.375,2.81,5000
박계범,21  SS,0.55,385,5,0.267,0.368,0.357,2.75,7000
손아섭,21  RF,-1.15,610,3,0.319,0.39,0.397,2.73,50000
채은성,21  RF,-0.9,448,16,0.276,0.359,0.452,2.71,30000
김민성,21  3B,1.34,426,8,0.222,0.313,0.35,2.71,40000
김선빈,21  2B,-0.73,564,5,0.307,0.375,0.401,2.7,45000
장성우,21  C,1.08,460,14,0.231,0.337,0.374,2.56,21000
최주환,21  2B,0.23,470,18,0.256,0.353,0.429,2.52,65000
유강남,21  C,0.51,441,11,0.252,0.317,0.375,2.43,30000
양석환,21  3B,-1.83,546,28,0.273,0.337,0.49,2.38,21000
류지혁,21  SS,0.35,327,2,0.278,0.385,0.33,2.01,10000
박찬호,21  SS,0.98,483,1,0.246,0.331,0.313,1.87,10000
유한준,21  RF,-1.04,337,5,0.309,0.409,0.418,1.7,50000
김민식,21  C,1.18,301,3,0.22,0.336,0.288,1.66,8500
최형우,21  DH,-0.92,446,12,0.233,0.354,0.375,1.51,90000
로맥,21  1B,-0.77,421,20,0.225,0.34,0.425,1.46,90000
정수빈,21  CF,0.01,351,3,0.259,0.326,0.374,1.43,60000
이재원,21  C,0.32,313,3,0.28,0.358,0.362,1.38,130000
김지찬,21  2B,0.62,336,1,0.274,0.331,0.304,1.23,7000
추재현,21  RF,0.16,300,5,0.252,0.336,0.366,1.18,3400
김헌곤,21  LF,-0.61,364,4,0.281,0.355,0.356,1.08,16000
박병호,21  1B,-0.83,477,20,0.227,0.323,0.43,1.02,150000
이원석,21  3B,-0.42,480,9,0.231,0.341,0.346,1.01,30000
장운호,21  CF,0.85,338,0,0.235,0.332,0.27,0.92,3500
이대호,21  DH,-1.44,465,19,0.286,0.342,0.448,0.88,80000
박준영,21  SS,0.13,315,8,0.209,0.301,0.337,0.54,3200
김태진,21  3B,-0.05,414,1,0.276,0.314,0.341,0.5,8500
터커,21  RF,-1.12,539,9,0.237,0.334,0.35,0.35,70000
김상수,21  2B,-0.26,496,3,0.235,0.32,0.301,0.28,25000
로하스,20  RF,0.24,628,47,0.349,0.417,0.68,9.4,80000
김하성,20  SS,0.82,622,30,0.306,0.397,0.523,8.1,55000
오지환,20  SS,3.54,591,10,0.3,0.362,0.461,7.41,60000
이정후,20  LF,1.13,617,15,0.333,0.397,0.524,7.24,39000
최형우,20  DH,-0.98,600,28,0.354,0.433,0.59,6.59,150000
박민우,20  2B,1.82,530,8,0.345,0.402,0.475,5.99,52000
강백호,20  1B,-0.2,574,23,0.33,0.411,0.544,5.81,21000
황재균,20  3B,0.92,600,21,0.312,0.37,0.512,5.7,120000
박해민,20  CF,3.48,541,11,0.29,0.345,0.415,5.48,30000
최정,20  3B,0.34,553,33,0.27,0.392,0.538,5.33,120000
최주환,20  2B,0.68,574,16,0.306,0.366,0.473,5.3,27000
나성범,20  DH,-0.6,584,34,0.324,0.39,0.596,5.21,50000
홍창기,20  RF,1.03,507,5,0.279,0.411,0.417,5.1,3800
로맥,20  1B,-0.65,586,32,0.282,0.399,0.546,5.01,90000
김현수,20  LF,-1.31,619,22,0.331,0.397,0.523,4.97,3000
페르난데스,20  DH,-1.45,668,21,0.34,0.404,0.497,4.96,40000
배정대,20  CF,1.18,615,13,0.289,0.372,0.42,4.87,4800
라모스,20  1B,-0.81,494,38,0.278,0.362,0.592,4.81,30000
노진혁,20  SS,1.76,484,20,0.274,0.356,0.48,4.59,14000
마차도,20  SS,1.43,560,12,0.28,0.356,0.422,4.53,30000
박건우,20  RF,-0.34,551,14,0.304,0.369,0.472,4.21,45000
허경민,20  3B,1.11,487,7,0.332,0.382,0.442,4.21,48000
구자욱,20  RF,0.15,510,15,0.307,0.385,0.478,3.96,28000
장성우,20  C,2.03,455,13,0.278,0.337,0.413,3.65,13500
김재환,20  LF,-1.76,614,30,0.266,0.373,0.494,3.58,65000
최재훈,20  C,1.22,389,3,0.301,0.383,0.383,3.52,20000
터커,20  RF,-2.51,631,32,0.306,0.398,0.557,3.46,55000
김혜성,20  2B,1.21,553,7,0.285,0.345,0.399,3.41,10000
서건창,20  2B,-0.01,595,5,0.277,0.39,0.386,3.4,35000
정수빈,20  CF,0.26,559,5,0.298,0.368,0.396,3.35,34000
전준우,20  LF,-0.34,628,26,0.279,0.347,0.482,3.27,50000
알테어,20  CF,-1.05,546,31,0.278,0.352,0.541,3.22,80000
강민호,20  C,0.94,393,19,0.287,0.349,0.487,3.11,125000
박석민,20  3B,-1.11,448,14,0.306,0.436,0.466,3.1,70000
김상수,20  2B,-0.13,471,5,0.304,0.397,0.401,3.06,25000
이형종,20  LF,-0.11,323,17,0.296,0.368,0.547,2.98,20000
박경수,20  2B,0.39,391,13,0.281,0.381,0.454,2.9,40000
권희동,20  RF,0.3,426,12,0.26,0.379,0.41,2.75,13500
오재일,20  1B,-1.59,534,16,0.312,0.39,0.482,2.75,47000
한동희,20  3B,0.31,531,17,0.278,0.361,0.436,2.74,4700
조용호,20  LF,0.01,482,0,0.296,0.392,0.333,2.68,7000
이명기,20  LF,-0.29,540,2,0.306,0.374,0.369,2.58,24000
김선빈,20  2B,-0.09,351,1,0.33,0.406,0.403,2.43,45000
정훈,20  1B,-0.87,476,11,0.295,0.382,0.427,2.29,6400
김준태,20  C,1.48,369,5,0.225,0.344,0.327,2.18,3800
박준태,20  RF,-0.21,443,5,0.245,0.389,0.331,2.16,4500
김재호,20  SS,0.12,458,2,0.289,0.362,0.346,2.14,65000
정진호,20  RF,1.03,326,2,0.277,0.348,0.355,2.12,11300
박세혁,20  C,0.59,423,4,0.269,0.348,0.364,2.07,23200
박동원,20  C,0.14,372,12,0.25,0.338,0.426,2.03,22500
반즈,20  RF,0.34,319,9,0.265,0.342,0.428,2.01,5000
나지완,20  LF,-1.84,556,17,0.291,0.392,0.444,2.01,60000
채은성,20  RF,-0.84,464,15,0.293,0.351,0.452,1.99,32000
김강민,20  CF,0.6,327,12,0.253,0.323,0.422,1.87,35000
김성현,20  SS,1.08,392,2,0.271,0.336,0.321,1.85,21000
김동엽,20  LF,-0.95,451,20,0.312,0.36,0.508,1.85,13500
강진성,20  1B,-0.45,432,12,0.309,0.351,0.463,1.78,3800
유강남,20  C,-0.58,478,16,0.261,0.33,0.415,1.37,23000
유한준,20  RF,-0.68,428,11,0.28,0.347,0.409,1.09,50000
최원준,20  CF,-1.94,412,2,0.326,0.387,0.421,1.08,7000
정은원,20  2B,0.44,303,3,0.248,0.362,0.335,1.07,12000
전병우,20  3B,0.71,402,8,0.237,0.31,0.357,1.01,2900
허정협,20  LF,-0.43,360,10,0.268,0.353,0.401,1.01,3500
이용규,20  CF,-1.49,487,1,0.286,0.381,0.337,0.72,40000
안치홍,20  2B,-0.91,460,8,0.286,0.351,0.413,0.71,29000
노수광,20  LF,0.44,330,1,0.251,0.332,0.316,0.67,21000
정주현,20  2B,0.16,371,4,0.247,0.312,0.338,0.6,12500
심우준,20  SS,1.1,535,3,0.235,0.291,0.3,0.57,13000
김민성,20  3B,-0.47,333,5,0.266,0.325,0.384,0.54,40000
노시환,20  3B,-0.06,387,12,0.22,0.298,0.387,0.39,3300
이원석,20  3B,-1.61,467,13,0.268,0.341,0.407,0.14,30000
이천웅,20  CF,-0.6,359,3,0.256,0.333,0.333,0.08,28000
유민상,20  1B,-1.62,456,8,0.246,0.341,0.366,-0.25,6000
박병호,19  1B,0.59,532,33,0.28,0.398,0.56,7.8,150000
오지환,19  SS,4.01,547,9,0.252,0.339,0.378,7.73,40000
김하성,19  SS,0.18,625,19,0.307,0.389,0.491,7.08,32000
로하스,19  LF,-0.15,578,24,0.322,0.381,0.53,6.47,100000
황재균,19  3B,2.31,507,20,0.283,0.357,0.467,6.16,120000
최정,19  3B,0.02,606,29,0.292,0.399,0.519,6.14,120000
박세혁,19  C,3.05,505,4,0.279,0.345,0.39,6.03,10000
박민우,19  2B,1.13,526,1,0.344,0.403,0.434,5.83,38000
페르난데스,19  DH,-1.76,645,15,0.344,0.409,0.483,5.73,30000
오재일,19  1B,0.17,529,21,0.293,0.369,0.495,5.14,30000
박건우,19  RF,-0.46,537,10,0.319,0.397,0.465,5.13,38500
호잉,19  RF,1.23,525,18,0.284,0.34,0.46,5.11,80000
최재훈,19  C,1.68,451,3,0.29,0.398,0.362,4.96,12500
샌즈,19  RF,-2.69,613,28,0.305,0.396,0.543,4.86,50000
최형우,19  DH,-0.81,555,17,0.3,0.413,0.485,4.81,150000
강백호,19  RF,-1.07,505,13,0.336,0.416,0.495,4.62,12000
김재호,19  SS,1.71,470,4,0.268,0.379,0.358,4.53,65000
이정후,19  LF,-0.77,630,6,0.336,0.386,0.456,4.53,23000
러프,19  1B,-1.12,568,22,0.292,0.396,0.515,4.13,170000
이형종,19  LF,0.73,482,13,0.286,0.358,0.442,4.11,17000
