이름,연도,이닝,ERA,FIP,WHIP,war,연봉
페디,23  P,180.1,2.0,2.22,0.95,7.95,80000
후라도,23  P,183.2,2.65,3.15,1.12,7.12,85000
안우진,23  P,150.2,2.39,2.33,1.06,6.86,35000
뷰캐넌,23  P,188.0,2.54,3.05,1.15,6.31,110000
고영표,23  P,174.2,2.78,3.19,1.15,5.91,43000
알칸타라,23  P,192.0,2.67,3.38,1.07,5.79,50000
반즈,23  P,170.1,3.28,3.4,1.33,5.74,85000
박세웅,23  P,154.0,3.45,3.62,1.32,4.63,3600
플럿코,23  P,123.1,2.41,3.14,1.18,4.58,80000
쿠에바스,23  P,114.1,2.6,2.78,1.04,4.57,45000
김광현,23  P,168.1,3.53,4.19,1.38,4.48,100000
원태인,23  P,150.0,3.24,4.17,1.27,4.48,35000
곽빈,23  P,127.1,2.9,3.96,1.21,4.36,14000
페냐,23  P,177.1,3.6,4.06,1.17,4.20,55000
브랜든,23  P,104.2,2.49,3.16,1.05,3.61,23000
엘리아스,23  P,131.1,3.7,4.09,1.32,3.54,54000
양현종,23  P,171.0,3.58,3.7,1.34,3.54,50000
켈리,23  P,178.2,3.83,3.49,1.24,3.41,105000
임찬규,23  P,144.2,3.42,4.16,1.35,3.40,17000
나균안,23  P,130.1,3.8,3.51,1.4,3.40,10900
맥카티,23  P,130.0,3.39,3.63,1.3,3.38,60000
최원태,23  P,146.2,4.3,3.89,1.33,3.20,35000
백정현,23  P,100.2,3.67,3.91,1.29,3.09,40000
윌커슨,23  P,79.2,2.26,2.61,1.09,3.03,25000
문동주,23  P,118.2,3.72,3.65,1.31,2.96,3300
엄상백,23  P,111.2,3.63,3.36,1.16,2.91,20000
벤자민,23  P,160.0,3.54,3.14,1.21,2.90,100000
서진용,23  P,73.0,2.59,4.27,1.53,2.84,26500
이의리,23  P,131.2,3.96,3.63,1.49,2.78,15000
수아레즈,23  P,108.0,3.92,3.12,1.49,2.52,90000
산체스,23  P,126.0,3.79,3.92,1.3,2.51,25000
류진욱,23  P,67.0,2.15,3.24,1.09,2.36,7500
함덕주,23  P,55.2,1.62,2.69,0.97,2.35,10000
윤영철,23  P,122.2,4.04,4.55,1.4,2.27,3000
주현상,23  P,59.2,1.96,3.25,0.84,2.21,5800
김재윤,23  P,65.2,2.6,2.4,1.02,2.05,36000
김진성,23  P,70.1,2.18,3.9,0.95,2.03,20000
백승현,23  P,40.0,1.58,3.89,1.15,2.02,4600
박영현,23  P,75.1,2.75,2.65,1.14,1.98,6100
배제성,23  P,130.1,4.49,4.76,1.7,1.95,20000
태너,23  P,64.2,2.92,3.81,1.1,1.94,15000
최승용,23  P,111.0,3.97,4.03,1.35,1.94,6000
신민혁,23  P,122.0,3.98,4.01,1.2,1.91,13500
김동주,23  P,78.1,4.14,4.27,1.38,1.81,3100
스트레일리,23  P,80.1,4.37,4.37,1.48,1.78,100000
파노니,23  P,82.1,4.26,3.65,1.32,1.73,35000
와이드너,23  P,115.0,4.54,3.66,1.32,1.71,59800
구창모,23  P,51.2,2.96,3.02,1.05,1.70,60000
오원석,23  P,144.2,5.23,4.9,1.57,1.64,14000
노경은,23  P,83.0,3.58,3.81,1.37,1.64,17000
김상수,23  P,52.0,3.12,3.78,1.27,1.58,11000
최준용,23  P,47.2,2.45,3.42,1.43,1.55,15800
임기영,23  P,82.0,2.96,3.93,0.91,1.54,15000
김윤식,23  P,74.2,4.22,4.24,1.49,1.48,15000
이태양,23  P,100.1,3.23,3.6,1.21,1.44,66000
전상현,23  P,58.2,2.15,3.3,1.3,1.44,13500
김원중,23  P,63.2,2.97,2.37,1.19,1.36,25200
앤더슨,23  P,79.0,3.76,3.83,1.29,1.34,60000
손동현,23  P,73.2,3.42,4.23,1.19,1.30,5000
정찬헌,23  P,72.0,4.75,3.9,1.17,1.27,10000
임창민,23  P,46.2,2.51,3.6,1.46,1.26,10000
김재웅,23  P,59.2,4.22,3.52,1.34,1.25,22000
최원준,23  P,107.2,4.93,4.57,1.37,1.23,22000
이재학,23  P,67.1,4.54,5.06,1.31,1.16,20000
윤대경,23  P,47.2,2.45,5.01,1.15,1.08,9000
김영규,23  P,61.2,3.06,3.5,1.1,1.06,14000
정해영,23  P,49.1,2.92,4.25,1.48,1.06,23000
심재민,23  P,47.2,3.78,4.0,1.57,1.03,8300
김명신,23  P,79.0,3.65,3.42,1.25,0.95,14500
한현희,23  P,104.0,5.45,4.97,1.61,0.95,20000
최성영,23  P,66.2,4.86,5.22,1.64,0.94,7200
요키시,23  P,65.2,4.39,3.25,1.46,0.94,120000
구승민,23  P,63.2,3.96,3.66,1.48,0.90,24860
이정용,23  P,86.2,4.15,3.84,1.37,0.87,24000
송명기,23  P,104.1,4.83,5.38,1.47,0.86,13000
홍건희,23  P,61.2,3.06,3.21,1.48,0.84,30000
김성진,23  P,47.0,3.64,4.74,1.47,0.84,4500
고효준,23  P,58.0,4.5,4.03,1.57,0.78,8500
문승원,23  P,105.0,5.23,4.84,1.65,0.78,70000
이우찬,23  P,38.1,3.52,3.82,1.38,0.78,12000
오승환,23  P,62.2,3.45,4.59,1.15,0.77,140000
이용찬,23  P,61.0,4.13,3.8,1.18,0.72,40000
이준영,23  P,33.2,3.21,3.74,1.46,0.68,14000
김기중,23  P,56.1,4.63,4.69,1.54,0.67,3600
이건욱,23  P,38.2,2.09,4.01,1.45,0.60,3100
이승현,23  P,60.0,3.6,3.81,1.38,0.55,12000
이상동,23  P,40.2,3.98,3.44,1.48,0.55,3200
고우석,23  P,44.0,3.68,2.8,1.36,0.53,43000
최동환,23  P,42.1,3.19,4.41,1.39,0.52,10500
장시환,23  P,34.2,3.38,4.61,1.53,0.52,28000
박치국,23  P,52.2,3.59,3.49,1.42,0.50,10500
김강률,23  P,25.2,4.21,4.42,1.36,0.40,20000
박종훈,23  P,80.0,6.19,6.35,1.71,0.39,50000
김진호,23  P,16.1,2.76,2.57,1.53,0.38,6000
이용준,23  P,67.0,4.3,5.0,1.55,0.36,3500
슐서,23  P,49.2,5.62,4.34,1.61,0.33,65000
김대우,23  P,64.0,4.5,4.4,1.38,0.29,7000
이재익,23  P,41.0,3.95,4.27,1.54,0.29,5700
최민준,23  P,60.0,4.2,4.68,1.57,0.28,13000
정우람,23  P,40.1,5.36,4.34,1.54,0.26,50000
장현식,23  P,51.0,4.06,4.67,1.65,0.25,19000
윤중현,23  P,28.0,3.86,5.09,1.39,0.24,7900
박민호,23  P,10.0,0.9,3.78,1.5,0.24,9500
문용익,23  P,13.0,4.15,4.88,1.54,0.23,6300
김도규,23  P,29.2,4.55,3.52,1.42,0.21,9500
최채흥,23  P,63.1,6.68,5.12,1.67,0.21,15000
이상규,23  P,7.2,2.35,3.91,1.57,0.19,3600
임정호,23  P,50.0,4.68,3.42,1.36,0.18,9000
이지강,23  P,68.0,3.97,4.84,1.29,0.17,3600
김범수,23  P,62.1,4.19,3.93,1.56,0.17,14100
하준영,23  P,49.0,4.59,3.65,1.45,0.16,7500
이민우,23  P,13.2,2.63,4.94,1.02,0.16,5100
우규민,23  P,43.0,4.81,3.63,1.4,0.15,25000
주권,23  P,47.0,4.4,5.28,1.45,0.15,29500
정성종,23  P,22.0,5.32,5.37,1.64,0.15,3600
이명종,23  P,57.0,5.21,5.38,1.58,0.14,4500
윤정현,23  P,6.0,1.5,6.12,1.83,0.13,4500
조민석,23  P,31.0,4.06,4.06,1.52,0.13,3500
김승현,23  P,12.2,4.26,6.1,1.66,0.13,4500
이재희,23  P,8.0,3.38,5.71,1.13,0.12,3600
산체스,23  P,63.2,5.94,3.77,1.48,0.12,25000
맥키니,23  P,59.1,6.52,6.14,1.63,0.11,10000
이상영,23  P,11.0,3.27,6.04,1.82,0.11,5000
장원준,23  P,41.0,5.27,4.53,1.56,0.10,5000
스미스,23  P,2.2,6.75,3.14,1.13,0.09,70000
이승호,23  P,5.0,5.4,8.21,1.8,0.09,12800
이민석,23  P,1.1,0.0,4.3,0.75,0.09,4100
심창민,23  P,3.1,2.7,5.68,2.1,0.06,15000
장민재,23  P,69.0,4.83,4.83,1.46,0.05,11500
서동민,23  P,1.0,0.0,10.65,3.0,0.05,6000
이승현,23  P,43.1,4.98,5.51,1.62,0.05,12000
박정수,23  P,36.2,4.17,4.21,1.5,0.05,4500
송승기,23  P,1.0,0.0,6.95,2.0,0.04,3500
하준수,23  P,1.0,0.0,7.55,2.0,0.04,3100
유승철,23  P,1.0,0.0,6.95,1.0,0.04,3800
김민규,23  P,8.1,4.32,4.58,1.2,0.04,5500
송은범,23  P,3.2,2.45,5.02,2.45,0.04,14000
윤호솔,23  P,3.2,2.45,3.66,1.64,0.04,8700
이우석,23  P,0.2,0.0,8.5,1.5,0.03,3300
류원석,23  P,2.0,4.5,4.15,0.5,0.02,3500
박준표,23  P,28.0,4.5,4.96,1.32,0.01,10500
조현우,23  P,3.0,6.0,5.08,2.67,0.01,7600
김준형,23  P,7.2,7.04,5.86,1.3,0.00,4200
하준호,23  P,13.0,4.15,6.27,1.85,0.00,4500
한두솔,23  P,1.0,9.0,5.05,2.0,0.00,3100
이민호,23  P,19.2,5.03,5.14,1.63,-0.01,14000
김영준,23  P,0.1,27.0,13.15,6.0,-0.01,3800
진해수,23  P,14.2,3.68,5.54,1.91,-0.01,25000
박세진,23  P,11.2,3.86,6.45,2.49,-0.01,3300
홍성민,23  P,2.0,9.0,10.1,3.0,-0.01,15000
채지선,23  P,3.1,8.1,6.07,2.4,-0.02,3800
이승진,23  P,0.2,0.0,9.4,3.0,-0.02,8800
문성현,23  P,28.1,4.45,5.02,1.62,-0.02,7000
배재준,23  P,1.0,18.0,6.95,3.0,-0.02,7500
나원탁,23  P,0.2,40.5,22.6,6.0,-0.02,3400
오석주,23  P,10.0,6.3,4.41,1.5,-0.02,3700
김대유,23  P,24.2,5.11,4.42,1.38,-0.03,16000
박세웅,23  P,0.2,27.0,31.9,6.0,-0.03,3600
송윤준,23  P,4.1,8.31,3.55,1.38,-0.04,3500
박승주,23  P,18.0,3.5,5.67,1.78,-0.04,4500
한재승,23  P,9.2,4.66,5.33,1.45,-0.04,3200
박신지,23  P,26.0,5.54,4.53,1.92,-0.04,3600
정철원,23  P,72.2,3.96,4.63,1.35,-0.05,10000
류희운,23  P,4.0,11.25,5.87,2.0,-0.06,3300
김시현,23  P,3.0,12.0,12.18,2.67,-0.06,3700
메디나,23  P,58.0,6.05,5.56,1.6,-0.07,30000
김진욱,23  P,36.1,6.44,5.4,1.82,-0.07,5600
황동재,23  P,31.2,7.11,6.22,1.93,-0.07,4100
박준영,23  P,4.1,18.69,5.53,2.31,-0.08,6000
손주영,23  P,8.2,5.19,4.55,2.08,-0.08,4100
딜런,23  P,9.0,8.0,7.66,1.67,-0.08,45000
이병헌,23  P,27.0,4.67,4.78,1.74,-0.08,3100
김대현,23  P,3.1,10.8,7.96,3.0,-0.08,6200
박윤철,23  P,3.1,21.6,14.89,3.0,-0.09,3400
최충연,23  P,9.1,4.82,8.85,1.82,-0.09,5500
이영준,23  P,1.2,21.6,5.71,3.0,-0.10,7000
김시훈,23  P,52.2,4.44,4.26,1.73,-0.10,9000
신정락,23  P,29.0,4.66,4.47,1.48,-0.10,7000
정성곤,23  P,4.1,10.38,12.62,3.46,-0.11,5500
고봉재,23  P,11.1,6.35,4.49,1.68,-0.11,3300
임준섭,23  P,32.2,5.79,4.12,1.93,-0.12,4000
최지광,23  P,17.1,5.19,5.79,1.5,-0.12,14000
배민서,23  P,6.2,6.75,3.74,1.8,-0.13,5100
남지민,23  P,37.2,6.45,3.8,1.78,-0.14,4300
김재영,23  P,8.0,10.13,6.81,1.88,-0.14,5300
변시원,23  P,2.1,42.43,14.78,4.29,-0.14,4000
윤산흠,23  P,3.0,6.0,7.55,3.0,-0.14,4800
이채호,23  P,24.2,6.93,7.44,1.42,-0.14,6000
이로운,23  P,57.2,5.62,4.65,1.66,-0.15,3000
허윤동,23  P,10.2,10.13,5.46,2.63,-0.15,5400
원종현,23  P,18.2,5.79,4.32,1.55,-0.17,50000
김태오,23  P,7.1,7.36,4.09,1.91,-0.18,3500
최성훈,23  P,3.0,15.0,3.22,2.67,-0.18,13000
안우진,22  P,196.0,2.11,2.09,0.95,8.45,15000
수아레즈,22  P,173.2,2.49,2.94,1.16,6.65,70000
김광현,22  P,173.1,2.13,3.14,1.07,6.44,810000
요키시,22  P,185.1,2.57,2.86,1.09,6.25,90000
뷰캐넌,22  P,160.0,3.04,3.61,1.34,5.75,110000
반즈,22  P,186.1,3.62,3.21,1.2,5.70,46000
루친스키,22  P,193.2,2.97,2.8,1.13,5.68,160000
폰트,22  P,184.0,2.69,3.31,0.95,5.58,110000
고영표,22  P,182.1,3.26,2.75,1.17,5.31,30000
켈리,22  P,166.1,2.54,2.89,1.08,5.26,90000
플럿코,22  P,162.0,2.39,3.19,1.01,5.26,50000
구창모,22  P,111.2,2.1,3.03,1.08,4.85,19000
소형준,22  P,171.1,3.05,3.41,1.15,4.70,20000
원태인,22  P,165.1,3.92,3.72,1.29,4.67,30000
놀린,22  P,124.0,2.47,3.05,1.12,4.31,35000
엄상백,22  P,140.1,2.95,3.6,1.22,4.13,8000
박세웅,22  P,157.1,3.89,2.84,1.34,3.97,3300
곽빈,22  P,147.2,3.78,3.99,1.37,3.53,6500
이인복,22  P,126.2,4.19,3.78,1.44,3.48,8500
최원준,22  P,165.0,3.6,4.41,1.33,3.43,34000
벤자민,22  P,96.2,2.7,4.04,1.02,3.10,23100
김민우,22  P,163.0,4.36,4.61,1.39,3.09,19100
모리만도,22  P,75.1,1.67,2.99,1.06,3.07,18000
양현종,22  P,175.1,3.85,3.66,1.25,3.07,100000
장민재,22  P,126.2,3.55,4.74,1.29,3.03,7600
김재웅,22  P,62.2,2.01,3.84,1.09,2.74,10400
나균안,22  P,117.2,3.98,2.73,1.38,2.73,5800
김윤식,22  P,114.1,3.31,3.29,1.33,2.70,7000
스탁,22  P,165.0,3.6,4.09,1.48,2.68,40000
고우석,22  P,60.2,1.48,2.69,0.96,2.65,27000
파노니,22  P,82.2,2.72,3.27,1.23,2.63,30000
김민수,22  P,80.2,1.9,2.1,1.0,2.53,6200
임기영,22  P,129.1,4.24,4.81,1.34,2.51,14000
스트레일리,22  P,62.1,2.31,3.93,1.22,2.44,40000
애플러,22  P,140.1,4.3,4.37,1.51,2.34,27500
이의리,22  P,154.0,3.86,4.23,1.31,2.32,9000
데스파이네,22  P,163.0,4.53,3.98,1.51,2.27,70000
이용찬,22  P,60.2,2.08,2.68,1.14,2.24,40000
이태양,22  P,112.0,3.62,4.76,1.25,2.15,12000
노경은,22  P,79.2,3.05,3.86,1.15,2.15,10000
최원태,22  P,105.2,3.75,4.18,1.26,2.08,31000
구승민,22  P,62.0,2.9,2.91,1.31,1.89,18100
신민혁,22  P,118.1,4.56,4.12,1.34,1.89,12000
오원석,22  P,144.0,4.5,4.48,1.5,1.78,6500
백정현,22  P,124.2,5.27,5.62,1.53,1.75,80000
김재윤,22  P,66.1,3.26,2.54,1.01,1.73,28000
브랜든,22  P,65.0,3.6,4.35,1.23,1.62,15000
배제성,22  P,107.0,4.21,3.96,1.39,1.54,27000
김태경,22  P,44.1,3.25,4.93,1.29,1.45,3300
오승환,22  P,57.0,3.32,3.98,1.26,1.41,160000
라미레즈,22  P,65.1,4.13,4.8,1.36,1.33,27500
송명기,22  P,107.2,4.51,4.75,1.58,1.33,13000
페냐,22  P,67.2,3.72,3.39,1.37,1.33,40000
최준용,22  P,71.0,4.06,3.69,1.17,1.28,10700
김영규,22  P,66.0,3.41,4.16,1.18,1.27,9500
스파크맨,22  P,84.2,5.31,3.68,1.65,1.25,50000
김대유,22  P,39.2,2.04,3.76,1.26,1.25,12500
이준영,22  P,46.1,2.91,3.89,1.45,1.22,6700
정해영,22  P,56.0,3.38,3.44,1.29,1.17,17000
한현희,22  P,77.2,4.75,4.54,1.38,1.15,25000
서준원,22  P,60.0,4.8,3.95,1.47,1.14,8400
파슨스,22  P,43.0,3.56,3.98,1.28,1.14,44000
이우찬,22  P,44.2,1.81,3.42,1.12,1.13,5000
진해수,22  P,45.0,2.4,2.93,1.11,1.07,30000
이재학,22  P,91.0,4.75,4.57,1.42,1.02,18000
주권,22  P,50.2,3.91,3.45,1.3,1.01,29500
전상현,22  P,46.1,3.3,2.37,1.25,0.96,11000
김도규,22  P,51.0,3.71,3.38,1.31,0.96,5700
김명신,22  P,79.2,3.62,3.71,1.26,0.93,10000
최승용,22  P,93.1,5.3,4.58,1.58,0.92,3500
원종현,22  P,63.1,2.98,3.63,1.14,0.89,27000
정우영,22  P,58.0,2.64,4.49,1.38,0.87,28000
문성현,22  P,41.1,3.27,3.84,1.16,0.87,3500
김진성,22  P,58.0,3.1,3.76,1.14,0.86,10000
배재준,22  P,31.1,2.3,3.83,1.18,0.81,5000
서진용,22  P,67.1,4.01,4.33,1.49,0.78,18500
이승호,22  P,50.1,3.58,5.1,1.41,0.76,8500
장현식,22  P,52.0,3.12,4.21,1.54,0.76,20000
임찬규,22  P,103.2,5.04,4.5,1.47,0.72,20000
카펜터,22  P,18.0,2.5,3.57,1.39,0.64,35000
김원중,22  P,43.0,3.98,2.41,1.3,0.63,28000
최성훈,22  P,33.1,2.16,3.79,1.08,0.62,10500
홍정우,22  P,26.2,3.04,4.53,1.2,0.61,5300
정찬헌,22  P,87.1,5.36,5.56,1.53,0.60,28000
이승현,22  P,50.0,4.68,4.51,1.4,0.59,10000
김범수,22  P,66.0,4.36,4.13,1.5,0.55,9680
우규민,22  P,47.0,3.26,3.42,1.3,0.54,20000
김기훈,22  P,8.2,1.04,3.69,1.27,0.52,4000
이영하,22  P,98.2,4.93,4.23,1.68,0.51,16000
킹험,22  P,16.1,2.76,2.9,1.22,0.45,70000
김태훈,22  P,43.0,3.14,4.15,1.4,0.41,15000
이승현,22  P,47.2,4.53,3.47,1.34,0.41,10000
문용익,22  P,37.2,3.35,4.86,1.41,0.40,4500
쿠에바스,22  P,11.0,2.45,4.74,0.64,0.39,80000
김택형,22  P,60.1,4.92,4.03,1.31,0.38,12500
임정호,22  P,25.0,3.24,2.38,1.12,0.37,10500
홍건희,22  P,62.0,3.48,3.42,1.27,0.36,25000
김준형,22  P,13.1,2.03,6.15,1.65,0.34,4200
함덕주,22  P,12.2,2.13,4.16,1.58,0.34,12000
심재민,22  P,43.1,3.74,4.82,1.32,0.33,8200
송은범,22  P,26.2,4.05,5.07,1.46,0.32,15000
박승주,22  P,25.0,4.32,5.99,1.64,0.32,3200
김진욱,22  P,46.2,6.36,4.55,1.67,0.31,5100
이민호,22  P,119.1,5.51,4.95,1.58,0.30,9800
최민준,22  P,68.1,3.95,5.4,1.24,0.26,6500
박정수,22  P,19.2,3.2,3.68,1.32,0.26,5000
더모디,22  P,39.2,4.54,3.92,1.39,0.24,18000
이정용,22  P,59.1,3.34,3.75,1.2,0.24,14000
장시환,22  P,63.2,4.38,3.41,1.41,0.24,21000
허윤동,22  P,55.0,6.55,6.13,1.78,0.23,4700
최동환,22  P,50.0,4.14,4.59,1.24,0.22,6000
강재민,22  P,51.1,4.21,5.08,1.42,0.22,15000
이승민,22  P,5.1,1.69,5.75,1.31,0.20,4100
박시영,22  P,15.2,4.6,4.14,1.47,0.20,12000
고영창,22  P,24.0,1.88,5.52,1.42,0.20,4200
조현우,22  P,12.0,4.5,4.81,1.5,0.20,9500
채지선,22  P,3.0,0.0,3.15,0.33,0.19,4000
정우람,22  P,18.1,2.95,2.55,1.58,0.19,80000
하준영,22  P,39.0,4.62,3.23,1.08,0.18,4000
김민,22  P,7.2,2.35,3.94,0.78,0.18,5500
박상원,22  P,12.0,2.25,2.0,1.42,0.17,13300
김윤수,22  P,35.0,5.91,4.22,1.74,0.15,6500
김대우,22  P,4.1,2.08,0.9,0.92,0.15,12000
서동민,22  P,21.0,2.57,4.99,1.14,0.15,4000
김동혁,22  P,26.2,4.73,3.26,1.46,0.13,6000
박치국,22  P,11.2,5.4,4.14,1.29,0.13,14500
윤정현,22  P,22.2,6.35,5.15,1.72,0.12,4100
고효준,22  P,38.2,3.72,3.51,1.42,0.11,4000
최충연,22  P,38.1,4.7,4.6,1.54,0.11,4500
장지훈,22  P,55.0,4.25,4.37,1.22,0.10,10500
박웅,22  P,6.0,3.0,6.15,2.33,0.09,3300
이정현,22  P,3.2,2.45,10.58,1.91,0.08,3500
이승재,22  P,1.0,0.0,4.38,0.0,0.08,3600
한승혁,22  P,80.1,5.27,4.0,1.74,0.07,5300
강윤구,22  P,21.1,5.48,1.64,1.45,0.04,7300
손주영,22  P,12.2,4.97,4.9,1.42,0.04,3800
장필준,22  P,30.0,5.7,4.42,1.77,0.04,12000
이수민,22  P,4.2,5.79,9.25,1.71,0.02,3300
안영명,22  P,3.1,2.7,3.03,0.9,0.02,8500
지명성,22  P,2.0,4.5,4.08,1.5,0.02,3200
김선기,22  P,36.2,5.15,3.84,1.58,0.02,6300
김현수,22  P,2.0,4.5,4.08,2.0,0.02,4000
이대호,22  DH,0.1,0.0,3.78,0.0,0.02,80000
임준섭,22  P,3.2,2.45,5.48,1.64,0.01,4000
박세웅,22  P,2.2,6.75,8.88,2.25,0.01,3300
박동수,22  P,14.2,5.52,5.88,2.18,0.01,3000
이상민,22  P,29.1,3.68,5.75,1.53,0.01,5500
박종훈,22  P,48.0,6.0,5.06,1.52,0.00,180000
홍상삼,22  P,21.2,5.82,5.53,1.57,0.00,10000
조무근,22  P,2.0,4.5,4.08,1.5,0.00,3300
정성종,22  P,4.1,4.15,3.76,1.85,-0.01,4100
노성호,22  P,2.0,4.5,5.93,2.5,-0.01,5800
송윤준,22  P,4.1,6.23,4.91,1.15,-0.01,4100
이재익,22  P,33.1,5.94,4.57,1.5,-0.01,3700
전영준,22  P,5.0,7.2,7.52,2.0,-0.01,3000
김태오,22  P,4.1,4.15,0.9,2.08,-0.02,3400
이형범,22  P,31.0,4.35,4.3,1.45,-0.02,8100
이우석,22  P,1.2,21.6,11.58,2.4,-0.03,3300
로니,22  P,44.1,5.89,6.03,1.69,-0.03,30000
이영준,22  P,21.0,4.29,3.95,1.9,-0.03,6000
권휘,22  P,9.1,5.79,5.71,1.39,-0.03,3700
이창재,22  P,1.1,33.75,7.01,5.25,-0.03,6700
이도윤,22  SS,1.1,20.25,3.78,3.0,-0.03,3400
정성곤,22  P,2.2,10.13,10.08,1.5,-0.05,7500
이승헌,22  P,0.2,54.0,13.98,9.0,-0.05,5300
이충호,22  P,4.2,9.64,8.18,2.57,-0.05,3200
이건욱,22  P,3.0,9.0,10.22,2.0,-0.05,3200
나원탁,22  P,6.0,9.0,6.05,2.33,-0.06,3100
박민호,22  P,22.0,4.09,5.88,1.68,-0.07,12000
윤중현,22  P,53.2,5.03,4.51,1.43,-0.07,6500
김대우,22  P,10.0,4.5,4.26,1.4,-0.07,12000
김건우,22  P,3.0,9.0,11.05,3.0,-0.08,3100
장원준,22  P,17.0,3.71,4.21,1.76,-0.09,5000
윤호솔,22  P,42.1,4.04,4.37,1.68,-0.09,6350
신재영,22  P,4.1,12.46,6.97,2.08,-0.09,4000
진명호,22  P,16.1,6.06,4.92,1.96,-0.09,6500
장재영,22  P,14.0,7.71,3.86,2.14,-0.10,3100
김유신,22  P,14.2,6.14,8.07,1.7,-0.10,3700
양창섭,22  P,20.1,8.41,6.29,1.77,-0.10,4700
미란다,22  P,7.2,8.22,8.86,2.61,-0.11,160000
김지용,22  P,19.1,6.05,6.14,1.24,-0.11,6000
류진욱,22  P,46.1,4.86,4.64,1.71,-0.11,7500
최영환,22  P,2.2,20.25,5.17,3.38,-0.11,4700
강동연,22  P,8.2,10.38,7.1,2.19,-0.11,4200
심창민,22  P,6.1,14.21,6.31,2.53,-0.11,28000
임대한,22  P,13.2,5.27,5.01,1.54,-0.11,4000
김기중,22  P,12.0,6.0,9.18,2.08,-0.12,3900
김도현,22  P,10.2,7.59,5.18,2.06,-0.12,3500
문경찬,22  P,40.1,5.8,4.63,1.59,-0.13,9000
김승현,22  P,4.0,11.25,9.71,2.5,-0.14,5500
김상수,22  P,8.0,9.0,7.76,1.63,-0.15,25000
전유수,22  P,11.0,8.18,5.82,2.0,-0.15,8000
